org_id,alternative_name,set_as_primary,
GB-CHC-1199596,The Lankelly Chase Foundation,
GB-CHC-1199596,Mission 44,
GB-NIC-100005,SCNI,
GB-NIC-100006,LVRT,
GB-NIC-100008,Advice NI,
GB-NIC-100009,RCN,
GB-NIC-100011,Brookeborough Controlled Primary School Parent Teacher Support Association,
GB-NIC-100012,NICVA,
GB-NIC-100013,BBNI,
GB-NIC-100015,NWCN,
GB-NIC-100017,GROUNDWORK NI,
GB-NIC-100024,Ballymena Congregational Church,
GB-NIC-100026,save a heart in Nigeria,
GB-NIC-100027,Strule Buzz Group,
GB-NIC-100028,PPF,
GB-NIC-100033,Dreamscheme,
GB-NIC-100037,SERVE In Solidarity Ireland,
GB-NIC-100038,NBHA,
GB-NIC-100042,Street Safe Ardglass Group,
GB-NIC-100046,TWG PLUS,
GB-NIC-100047,The Big House,
GB-NIC-100053,The 1st Old Boys Silver Band,
GB-NIC-100055,T.C.R.,
GB-NIC-100058,Mountsandel Christian Fellowship,
GB-NIC-100059,NWMRT,
GB-NIC-100061,Ballymoney Model PTA,
GB-NIC-100063,Strathfoyle Women's Centre,
GB-NIC-100064,The Rainbow Project,
GB-NIC-100067,Sestina,
GB-NIC-100072,Challenge for Youth,
GB-NIC-100074,Jigsaw NI,
GB-NIC-100076,North West Animal Welfare Group,
GB-NIC-100077,Clonard Residents Association,
GB-NIC-100078,Foyle Civic Trust,
GB-NIC-100082,The Storehouse Northern Ireland,
GB-NIC-100083,GRIT,
GB-NIC-100084,the YP Fund,
GB-NIC-100090,M'Lop Tapang NI,
GB-NIC-100092,Colin Neighbourhood Partnership,
GB-NIC-100093,NOW,
GB-NIC-100101,Surestart,
GB-NIC-100103,Belvoir Players,
GB-NIC-100106,ICBPT,
GB-NIC-100108,Dungiven Ladies,
GB-NIC-100112,w5,
GB-NIC-100114,Sólás,
GB-NIC-100115,Moneyrea Non-Subscribing Presbyterian Church,
GB-NIC-100116,Belfast Community Circus School Ltd,
GB-NIC-100117,Suffolk Community Forum,
GB-NIC-100119,The Playhouse,
GB-NIC-100120,CAIRDE,
GB-NIC-100122,LTCCNI,
GB-NIC-100123,HA in Ireland,
GB-NIC-100128,UAS,
GB-NIC-100136,PlaCE2b,
GB-NIC-100137,CARLISLE HALL PLAYGROUP,
GB-NIC-100139,B.A.D.A.,
GB-NIC-100140,IBCC,
GB-NIC-100147,InaG,
GB-NIC-100149,WRDA,
GB-NIC-100152,Maiden Voyage Dance,
GB-NIC-100153,YPC,
GB-NIC-100154,HAAF,
GB-NIC-100155,Newpoint Youth Group; Newpoint Fringe,
GB-NIC-100156,HILLSBOROUGH VILLAGE CENTRE,
GB-NIC-100157,AVH,
GB-NIC-100160,TCFDT (NI),
GB-NIC-100161,FRCN,
GB-NIC-100172,KRG,
GB-NIC-100173,The Lyric Theatre (NI),
GB-NIC-100179,BREAD,
GB-NIC-100182,Farset Enterprise Park,
GB-NIC-100185,WOMEN'STEC,
GB-NIC-100192,PATRICK MURPHY TRUST,
GB-NIC-100199,The Irish Association,
GB-NIC-100204,WAVE,
GB-NIC-100207,Cairde Cheathrú na Gaeltachta,
GB-NIC-100209,GSAP,
GB-NIC-100212,NWSF,
GB-NIC-100213,Ullans Centre,
GB-NIC-100216,FUEL,
GB-NIC-100219,WMEN,
GB-NIC-100220,Conflict Resolution Services (Ireland),
GB-NIC-100222,The Churches Voluntary Work Bureau Limited,
GB-NIC-100223,"Friends of St Louis, Ballymena",
GB-NIC-100224,NBCC,
GB-NIC-100227,The Tuesday Club,
GB-NIC-100232,Reminiscence Network Northern Ireland,
GB-NIC-100233,NIAAS,
GB-NIC-100234,NHM,
GB-NIC-100239,BICCI,
GB-NIC-100240,Autism NI,
GB-NIC-100241,OCN NI,
GB-NIC-100246,Redburn Community Church,
GB-NIC-100247,SOS Bus NI,
GB-NIC-100250,B&DCA,
GB-NIC-100252,EPC,
GB-NIC-100254,NIAAS,
GB-NIC-100257,PEG,
GB-NIC-100261,"Faith in Action Missions, Newtownards",
GB-NIC-100262,Killyleagh Community Shop,
GB-NIC-100263,BOATA,
GB-NIC-100265,Eastside ABC,
GB-NIC-100266,Tristar,
GB-NIC-100268,Ballyclare EPC,
GB-NIC-100273,SSP,
GB-NIC-100274,CCRF,
GB-NIC-100277,South Belfast Partnership,
GB-NIC-100279,CERA,
GB-NIC-100280,"The Foundation, or UHF",
GB-NIC-100285,Photoworks North Ltd,
GB-NIC-100286,KCHA,
GB-NIC-100290,NIAD or NI Assistance Dogs,
GB-NIC-100297,"Hope North West; or, HopeNW",
GB-NIC-100298,ADDNI Children's Charity,
GB-NIC-100299,Aghadrumsee Primary PTFA,
GB-NIC-100303,IAM NW Ulster Group,
GB-NIC-100304,Children's Enterprise (Northern Ireland) Limited,
GB-NIC-100309,MUST Hostel,
GB-NIC-100310,NICIE,
GB-NIC-100312,Millbrook Nazarene,
GB-NIC-100319,DYRC,
GB-NIC-100320,St. Agnes A.B.C.,
GB-NIC-100321,DYCW,
GB-NIC-100323,Irish Baptist Networks,
GB-NIC-100325,UCIT,
GB-NIC-100329,FOA,
GB-NIC-100330,Jengana,
GB-NIC-100337,KIC,
GB-NIC-100342,LIA,
GB-NIC-100345,All Communities Art Communication,
GB-NIC-100346,Extending The Choice,
GB-NIC-100350,Pride Of the Hill,
GB-NIC-100351,Ballinamallard PTFA,
GB-NIC-100352,Clifton PSA,
GB-NIC-100354,Scrabo Hall,
GB-NIC-100357,Bord na dTuismitheoiri,
GB-NIC-100360,RCRG,
GB-NIC-100362,Friends of Arvalee,
GB-NIC-100363,St. Finian's PTA,
GB-NIC-100364,Templepatrick PTA,
GB-NIC-100368,Moat PTFA,
GB-NIC-100375,RDCA,
GB-NIC-100376,STS,
GB-NIC-100377,WAC,
GB-NIC-100381,STEP,
GB-NIC-100382,Glenaden Arena,
GB-NIC-100383,ONCHS,
GB-NIC-100386,Crusaders Youth Academy,
GB-NIC-100387,Belfast Aikido,
GB-NIC-100396,MMRT,
GB-NIC-100398,strabane playclub,
GB-NIC-100400,F.O.S.P.A.,
GB-NIC-100402,RPC,
GB-NIC-100405,GBNI,
GB-NIC-100406,CPTT,
GB-NIC-100407,"spiritofchris, CHRIS",
GB-NIC-100411,NCCT,
GB-NIC-100412,"The Koram Centre, Counselling, Psychotherapy and Psycho Social Support Ltd",
GB-NIC-100423,Flourish,
GB-NIC-100424,NO,
GB-NIC-100425,USDT,
GB-NIC-100427,Rowandale Parent's Council,
GB-NIC-100428,Community Focus Learning (CFL),
GB-NIC-100429,St Brides PTA,
GB-NIC-100439,Banbridge CAB,
GB-NIC-100440,Mission to Mexico,
GB-NIC-100441,OLSPCKPTA,
GB-NIC-100442,Gleann ABC,
GB-NIC-100444,CANS,
GB-NIC-100450,Trad Arts Co-Op,
GB-NIC-100452,Killinchy and District Community Development Association Limited,
GB-NIC-100453,KCC,
GB-NIC-100455,Cullybackey Development Association,
GB-NIC-100456,No,
GB-NIC-100458,no,
GB-NIC-100461,Access,
GB-NIC-100462,FoDA,
GB-NIC-100463,BARN,
GB-NIC-100465,St Anne's Parent Teacher Association,
GB-NIC-100466,Harmony Hill Primary School PTA,
GB-NIC-100469,DMVC,
GB-NIC-100473,NACN,
GB-NIC-100475,Glenravel & District Community & Residents Association,
GB-NIC-100476,DADCA,
GB-NIC-100480,Drumahoe Out of Schools Club,
GB-NIC-100481,The Wayside Trust,
GB-NIC-100485,Atlantic Challenge Northern Ireland,
GB-NIC-100486,Belfast Hebrew Congregation,
GB-NIC-100490,Bóthar,
GB-NIC-100491,Victory Praise Community Church,
GB-NIC-100498,Nazarene Compassionate Ministries (NI) Ltd,
GB-NIC-100499,Stepping Stones Pre-School Nursery,
GB-NIC-100500,Helping Hands,
GB-NIC-100502,BEWWT,
GB-NIC-100504,The Dock,
GB-NIC-100512,Mid & East Antrim CAB,
GB-NIC-100513,ETCNI,
GB-NIC-100526,FULS,
GB-NIC-100527,Mountains of Mourne Country Cottages,
GB-NIC-100528,SACA,
GB-NIC-100530,CCA,
GB-NIC-100535,Caire Uí Fhiaich,
GB-NIC-100536,Ohana,
GB-NIC-100538,SEFF,
